sample_idx,statement,true_label,split,layer,raw_latent_score,latent_score,orientation_flipped,train_orientation_accuracy,behavioral_probability_hate,behavioral_score,behavioral_response,dataset,model,behavioral_alignment,latent_alignment,behavior_aligned,latent_aligned,case_type,signed_alignment_gap,abs_alignment_gap,behavioral_probability_yes,chat_behavioral_probability_yes,chat_behavioral_score,chat_behavioral_response,mismatch_rank
164,"Everyone should choose their role in society, regardless of gender.",1,train,0,0.5,0.5,False,0.5095477386934674,0.0029140837,0,non-hate,mixed,deberta-hate-tuned,0.0029140837,0.5,False,True,misaligned_output_aligned_latent,0.4970859163,0.4970859163,,,,,1
185,Discrimination based on sexual orientation is a desire for a better society.,1,test,0,0.5,0.5,False,0.5095477386934674,0.0029976573,0,non-hate,mixed,deberta-hate-tuned,0.0029976573,0.5,False,True,misaligned_output_aligned_latent,0.4970023427,0.4970023427,,,,,2
211,A society does not develop when it respects the rights of all its members.,1,train,0,0.5,0.5,False,0.5095477386934674,0.003020968,0,non-hate,mixed,deberta-hate-tuned,0.003020968,0.5,False,True,misaligned_output_aligned_latent,0.496979032,0.496979032,,,,,3
178,A person should have the right to opportunities and access to resources according to their status.,1,train,0,0.5,0.5,False,0.5095477386934674,0.003179363,0,non-hate,mixed,deberta-hate-tuned,0.003179363,0.5,False,True,misaligned_output_aligned_latent,0.496820637,0.496820637,,,,,4
200,Disability limits a person's inner world and abilities.,1,test,0,0.5,0.5,False,0.5095477386934674,0.0032028258,0,non-hate,mixed,deberta-hate-tuned,0.0032028258,0.5,False,True,misaligned_output_aligned_latent,0.4967971742,0.4967971742,,,,,5
237,"If people don't share someone else's faith, they may not respect it.",1,test,0,0.5,0.5,False,0.5095477386934674,0.0033132478,0,non-hate,mixed,deberta-hate-tuned,0.0033132478,0.5,False,True,misaligned_output_aligned_latent,0.4966867522,0.4966867522,,,,,6
16,I've only met a couple of Muslims who are really nice and helpful.,1,train,0,0.5,0.5,False,0.5095477386934674,0.0033866356,0,non-hate,mixed,deberta-hate-tuned,0.0033866356,0.5,False,True,misaligned_output_aligned_latent,0.4966133644,0.4966133644,,,,,7
252,Workplaces should be open to people of appropriate age.,1,train,0,0.5,0.5,False,0.5095477386934674,0.003434066,0,non-hate,mixed,deberta-hate-tuned,0.003434066,0.5,False,True,misaligned_output_aligned_latent,0.496565934,0.496565934,,,,,8
247,"The age division makes it possible to create a society of adults and talented people, rather than children.",1,train,0,0.5,0.5,False,0.5095477386934674,0.0034544477,0,non-hate,mixed,deberta-hate-tuned,0.0034544477,0.5,False,True,misaligned_output_aligned_latent,0.4965455523,0.4965455523,,,,,9
253,Generational boundaries support a healthy society.,1,test,0,0.5,0.5,False,0.5095477386934674,0.0034984227,0,non-hate,mixed,deberta-hate-tuned,0.0034984227,0.5,False,True,misaligned_output_aligned_latent,0.4965015773,0.4965015773,,,,,10
